1,Alexander,Smith,M,1975-09-22,alexander.smith@techdomain.com,2013-08-22,2022-03-22,Desenvolvedor de Software,165168.00,Silicon Valley
2,Michael,Johnson,M,1960-05-28,michael.johnson@brightwebsolutions.net,2019-10-10,2022-08-30,Eng. de Software,142692.00,San Francisco
3,Elijah,Brown,M,1992-03-20,elijah.brown@freshonline.com,2016-01-16,2023-01-04,Analista de Sistemas,221880.00,Seattle
4,Daniel,Taylor,M,1978-01-09,daniel.taylor@proactiveweb.com,2020-02-14,2023-02-16,Arquiteto de Soluções,287700.00,Bangalore
5,Joseph,Miller,M,1985-09-22,joseph.miller@wisedigitalsolutions.com,2015-09-05,2022-11-14,Administrador de Banco de Dados,205476.00,Hyderabad
6,Rafael,Anderson,M,1991-06-26,rafael.anderson@creativetechhub.com,2021-02-14,2022-01-30,Esp. em Segurança da Informação,201540.00,Chennai
7,Felipe,Clark,M,1966-07-12,felipe.clark@secureonlinesolutions.net,2017-09-27,2022-12-23,Gerente de Projeto de TI,292572.00,Pune
8,Samuel,Harris,M,1975-06-22,samuel.harris@cloudtechmasters.com,2015-12-30,2022-10-11,Analista de Redes,211200.00,Mumbai
9,Daniel,Walker,M,1995-10-10,daniel.walker@webproexperts.com,2021-03-29,2023-02-16,Cientista de Dados,252048.00,São Paulo
10,Gustavo,White,M,1963-04-14,gustavo.white@digitaldomainmakers.com,2015-06-15,2022-12-10,Esp. em Cloud Computing,263724.00,Campinas
11,Lucas,Jackson,M,1981-10-26,lucas.jackson@innovatewebtech.com,2014-01-24,2022-06-12,Analista de Sistemas,233004.00,Rio de Janeiro
12,Grace,Hill,F,1994-08-26,grace.hill@techgurusonline.com,2013-08-27,2022-06-11,Arquiteto de Soluções,168624.00,Florianópolis
13,Elizabeth,Roberts,F,1982-01-05,elizabeth.roberts@websavvysolutions.net,2013-01-03,2022-02-15,Administrador de Banco de Dados,138912.00,Toronto
14,Charlotte,Carter,F,1988-02-18,charlotte.carter@futurewebtrends.com,2020-05-08,2022-12-31,Esp. em Segurança da Informação,196416.00,Montreal
15,Harper,Hughes,F,1977-04-08,harper.hughes@digitalstrategylab.com,2015-06-09,2022-01-26,Gerente de Projeto de TI,175680.00,Vancouver
16,Lily,Cooper,F,1972-11-09,lily.cooper@webwizardsonline.com,2022-12-10,2022-11-05,Gerente de Infraestrutura de TI,126480.00,Tel Aviv
